conversation_id_str,created_at,tweet,label
1.85156E+18,Wed Oct 30 09:50:16 +0000 2024,baru aktivin sPaylater menurutku gpp nyicil asal tau batas kemampuan yang bahaya kalo berani ambil cicilan apalagi yg besar tapi ga siap buat bayar. Btw aku pake spaylater buat nyari promo aja https://t.co/e8v0iM9SCF,positif
1.83121E+18,Wed Sep 04 05:50:15 +0000 2024,tanyarl wah gila ya gopaylater dendanya waktu itu beli makanan pake promo pembayaran itu dan sekarang lupa blm bayar dendanya udah segini. kenapa pas makanan dateng ngga bisa langsung dibayar sii kan jadi lupa https://t.co/9thLOktLfp,negatif
1.81085E+18,Sun Mar 6 02:18:27 +0000 2025,"plisss adakah seseorang disini, helppp menurut kalian gw perlu aktifin gopaylater gaakk?? gw butuh bangeetttt tapi gw adanya cash hari ini blm sempet setor tunai, udah coba cari pinjeman dl tp gada yg bales",netral
1.7905E+18,Mon Feb 17 01:07:08 +0000 2025,cc @gopayindonesia min ini ko di blokir gopaylater dahal ga telat bayar ? ANEH,positif
1.44174E+18,Sat Sep 25 12:35:57 +0000 2021,Mending sikat sih daripada kepikiran. Bikin tidur susah jadi sering gelisah Emg udah waktunya pake #GoPayLater diawasi OJK jg terbukti aman! Nih caranya biar cepet diapprov pas regis sesuai aturan @gopayindonesia bisa buat kalian jg yg masih bingung. #BarengGoPayLater https://t.co/QTqCBM7LpX,negatif
1.85156E+18,Thu Jan 16 06:32:06 +0000 2025,kalian ada yang dapet keringanan bunga gk? yang telat bayar gagal bayar spaylater spinjam? tag. pinjol cicilan utas dipo akulaku gopaylater adakami,netral
1.89349E+18,Sun Feb 23 02:18:27 +0000 2025,ini CS @gopayindonesia @gojekindonesia bad service banget... tanggapannya lama beda sama @HaloBCA udh gitu main blokir blokir gopaylater aja secara bayar mah bayar nggk ada nunggak..,positif
1.85322E+18,Sun Nov 03 23:31:07 +0000 2024,"Spaylater di Shopee itu ada biaya pemrosesan, lho. Saat kamu ingin melakukan pembayaran nanti, akan ada biaya tambahan yang dikenakan sesuai dengan jumlah yang harus dibayar, yaitu sebesar 1.5%. Jadi, jangan terlalu senang dulu melihat bunga 0% meskipun cicilannya 6 bulan. ",negatif
1.89571E+18,Sat Mar 01 05:29:51 +0000 2025,Pamer akhirnya kebeli juga cushion makeover waktu di lazada gak jadi dibayar soalnya shadenya kurang cocok eh malah dapet di shopee dan bayarnya pake shopeepaylater lagi cepet banget hehe,netral
1.42225E+18,Mon Aug 02 17:26:27 +0000 2021,Hati-hati dengan Shopee SPayLater ini. Banyak yang nggak sadar ada biaya tersembunyi dan bunga yang bisa bikin utang menumpuk kalau telat bayar. Baca baik-baik terms of service sebelum pakai! ⚠️ https://t.co/8XG0H28Nki https://t.co/pLuO6QRsCV,positif
